,flag,perclose,eye_total,mouse_total,node_total
0,1,3.277777777777778,5,0,6
1,0,1.8888888888888888,1,0,0
2,0,0.6111111111111112,0,0,0
3,0,0.8333333333333334,2,0,0
4,1,2.666666666666667,4,0,5
5,1,1.8333333333333333,4,0,4
6,0,1.1666666666666667,2,0,2
7,1,4.111111111111112,10,0,4
8,1,1.6111111111111112,4,1,6
9,1,1.1111111111111112,1,4,19
10,1,1.6666666666666667,4,1,11
11,0,2.055555555555556,3,0,0
12,0,0.1111111111111111,0,0,0
13,1,0.05555555555555555,0,1,2
14,0,1.5,2,0,0
15,0,1.7222222222222223,3,0,1
16,0,0.3888888888888889,0,0,0
17,1,0.9444444444444444,1,1,0
18,1,0.2222222222222222,0,1,0
19,0,1.8888888888888888,0,0,0
20,1,4.5,8,0,3
21,0,1.277777777777778,1,0,2
22,0,1.1666666666666667,3,0,0
23,0,1.277777777777778,4,0,2
24,0,2.722222222222222,4,0,2
25,1,2.388888888888889,5,0,4
26,0,1.1111111111111112,1,0,2
27,0,2.111111111111111,4,0,0
28,1,2.666666666666667,2,1,0
29,0,1.0555555555555556,2,0,0
30,1,1.3888888888888888,4,2,0
31,1,0.8333333333333334,1,4,0
32,0,0.5555555555555556,0,0,0
33,1,0.2777777777777778,0,10,1
34,1,2.166666666666667,2,4,0
35,0,1.1666666666666667,1,0,1
36,1,2.166666666666667,2,0,7
37,1,2.7777777777777777,5,2,1
38,0,1.7222222222222223,3,0,2
39,0,2.166666666666667,6,0,0
40,0,1.0,1,0,0
41,0,0.9444444444444444,1,0,1
42,0,0.7222222222222222,0,0,1
43,0,1.5,1,0,2
44,0,1.1111111111111112,1,0,0
45,0,0.1111111111111111,0,0,0
46,0,0.33333333333333337,0,0,0
47,0,1.0,1,0,0
48,1,1.0,2,1,0
49,0,0.5555555555555556,0,0,0
50,1,1.1666666666666667,3,0,3
51,0,0.05555555555555555,0,0,1
52,0,0.2222222222222222,0,0,0
53,0,1.0555555555555556,0,0,1
54,0,0.9444444444444444,1,0,0
55,0,0.05555555555555555,0,0,0
56,0,0.7222222222222222,0,0,0
57,0,0.7777777777777778,1,0,0
58,0,1.0555555555555556,2,0,0
59,0,0.7222222222222222,1,0,0
