,flag,perclose,eye_total,mouse_total,node_total
0,1,7.722222222222222,14,2,1
1,0,5.555555555555555,12,0,0
2,0,4.277777777777778,10,0,0
3,0,0.6111111111111112,0,0,0
4,0,1.2222222222222223,1,0,0
5,0,5.277777777777778,8,0,0
6,0,4.666666666666667,3,0,0
7,0,9.944444444444445,13,0,0
8,0,9.666666666666666,13,0,0
9,1,8.277777777777779,7,1,0
10,1,10.333333333333334,23,1,1
11,0,0.5555555555555556,0,0,0
12,0,2.111111111111111,0,0,0
13,1,9.0,9,3,4
14,1,10.833333333333334,18,6,7
15,1,33.44444444444444,67,2,5
16,1,3.2222222222222223,7,4,2
17,1,2.0,2,3,4
18,1,10.5,18,3,0
19,1,16.833333333333332,34,9,5
20,1,5.166666666666667,7,7,3
21,1,10.444444444444445,21,6,7
22,1,5.0,5,2,1
23,1,17.166666666666668,39,5,11
24,1,5.666666666666666,8,6,27
25,1,8.38888888888889,17,1,4
26,1,10.944444444444445,19,5,15
27,1,32.72222222222222,64,0,0
28,1,14.333333333333334,22,6,4
29,1,14.000000000000002,25,1,3
30,1,50.61111111111111,79,0,0
31,1,21.444444444444443,40,3,6
32,1,10.833333333333334,16,7,3
